Epoch	EpRet	EpRealRet	TestEpRet	AverageQ1	StdQ1	MaxQ1	MinQ1	Q2	TestSuccess	TotalEnvInteracts	TotalTime
0	-192.7	-192.7	-198.3	-1.7309422	1.9211107	2.2536917	-12.06606	-1.7301719	0.0	10000	101.36194658279419
1	-185.5	-185.5	-156.5	-4.2651052	4.5635843	1.8281863	-22.187393	-4.2649255	0.2	20000	201.4051399230957
2	-182.22	-182.22	-184.59999	-6.582761	6.91504	3.2047403	-30.242203	-6.5827293	0.2	30000	299.86934328079224
3	-178.72	-178.72	-162.40001	-8.325257	9.042807	2.9824748	-38.195797	-8.325278	0.3	40000	400.1196846961975
4	-179.36	-179.36	-188.5	-9.447303	10.888196	4.489632	-43.756577	-9.447396	0.2	50000	500.5214800834656
5	-186.64	-186.64	-137.09999	-10.451484	12.488655	3.5064125	-46.60992	-10.451406	0.4	60000	601.3749792575836
6	-194.18	-194.18	-200.0	-11.39194	13.874674	5.8531146	-49.27792	-11.39178	0.0	70000	708.8326299190521
7	-173.62	-173.62	-165.40001	-12.098153	15.082735	6.146671	-52.268948	-12.097966	0.3	80000	822.3152136802673
8	-169.34	-169.34	-152.7	-12.462373	15.884314	4.8617764	-57.649376	-12.462156	0.3	90000	933.8191947937012
